sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
3,0.2,16,3,0|7|12,2011_09_26_drive_0009_0000000125|2011_09_26_drive_0009_0000000139|2011_09_26_drive_0009_0000000149,3,0|1|7,2011_09_26_drive_0009_0000000125|2011_09_26_drive_0009_0000000127|2011_09_26_drive_0009_0000000139,0.667,0.667,3.991,0
4,0.2,16,3,2|6|7,2011_09_26_drive_0009_0000000247|2011_09_26_drive_0009_0000000254|2011_09_26_drive_0009_0000000255,3,2|6|7,2011_09_26_drive_0009_0000000247|2011_09_26_drive_0009_0000000254|2011_09_26_drive_0009_0000000255,1.0,1.0,1.014,0
7,0.2,10,2,2|6,2011_09_26_drive_0011_0000000055|2011_09_26_drive_0011_0000000059,3,2|4|6,2011_09_26_drive_0011_0000000055|2011_09_26_drive_0011_0000000057|2011_09_26_drive_0011_0000000059,0.667,1.0,1.134,0
10,0.2,13,3,4|8|11,2011_09_26_drive_0014_0000000057|2011_09_26_drive_0014_0000000061|2011_09_26_drive_0014_0000000064,3,4|8|11,2011_09_26_drive_0014_0000000057|2011_09_26_drive_0014_0000000061|2011_09_26_drive_0014_0000000064,1.0,1.0,0.538,0
12,0.2,7,1,4,2011_09_26_drive_0014_0000000162,3,4|5|6,2011_09_26_drive_0014_0000000162|2011_09_26_drive_0014_0000000163|2011_09_26_drive_0014_0000000164,0.333,1.0,0.753,0
13,0.2,11,2,4|7,2011_09_26_drive_0014_0000000263|2011_09_26_drive_0014_0000000266,3,0|4|7,2011_09_26_drive_0014_0000000259|2011_09_26_drive_0014_0000000263|2011_09_26_drive_0014_0000000266,0.667,1.0,0.703,0
15,0.2,14,3,0|7|12,2011_09_26_drive_0015_0000000237|2011_09_26_drive_0015_0000000244|2011_09_26_drive_0015_0000000249,3,0|7|12,2011_09_26_drive_0015_0000000237|2011_09_26_drive_0015_0000000244|2011_09_26_drive_0015_0000000249,1.0,1.0,0.625,0
17,0.2,11,2,5|8,2011_09_26_drive_0018_0000000206|2011_09_26_drive_0018_0000000209,3,5|7|8,2011_09_26_drive_0018_0000000206|2011_09_26_drive_0018_0000000208|2011_09_26_drive_0018_0000000209,0.667,1.0,0.777,0
18,0.2,17,3,0|9|10,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000214|2011_09_26_drive_0018_0000000215,3,0|9|10,2011_09_26_drive_0018_0000000205|2011_09_26_drive_0018_0000000214|2011_09_26_drive_0018_0000000215,1.0,1.0,3.455,0
21,0.2,11,2,0|8,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000190,3,0|8|10,2011_09_26_drive_0028_0000000182|2011_09_26_drive_0028_0000000190|2011_09_26_drive_0028_0000000192,0.667,1.0,3.42,0
24,0.2,8,2,3|6,2011_09_26_drive_0028_0000000403|2011_09_26_drive_0028_0000000406,3,0|3|6,2011_09_26_drive_0028_0000000400|2011_09_26_drive_0028_0000000403|2011_09_26_drive_0028_0000000406,0.667,1.0,0.518,0
25,0.2,10,2,5|7,2011_09_26_drive_0029_0000000174|2011_09_26_drive_0029_0000000179,3,3|5|7,2011_09_26_drive_0029_0000000170|2011_09_26_drive_0029_0000000174|2011_09_26_drive_0029_0000000179,0.667,1.0,1.642,0
