sign_id,ratio,k,n_injected,injected_idx,injected_frames,n_detected,detected_idx,detected_frames,detect_precision,detect_recall,err_m,fallback
106,0.4,8,3,3|4|5,2011_09_29_drive_0071_0000000165|2011_09_29_drive_0071_0000000167|2011_09_29_drive_0071_0000000169,3,1|5|7,2011_09_29_drive_0071_0000000161|2011_09_29_drive_0071_0000000169|2011_09_29_drive_0071_0000000173,0.333,0.333,2.648,0
108,0.4,17,7,0|1|5|6|12|13|15,2011_09_30_drive_0018_0000000077|2011_09_30_drive_0018_0000000078|2011_09_30_drive_0018_0000000082|2011_09_30_drive_0018_0000000083|2011_09_30_drive_0018_0000000089|2011_09_30_drive_0018_0000000090|2011_09_30_drive_0018_0000000092,3,1|5|15,2011_09_30_drive_0018_0000000078|2011_09_30_drive_0018_0000000082|2011_09_30_drive_0018_0000000092,1.0,0.429,0.777,0
109,0.4,21,8,6|9|11|13|14|16|18|19,2011_09_30_drive_0018_0000000746|2011_09_30_drive_0018_0000000749|2011_09_30_drive_0018_0000000751|2011_09_30_drive_0018_0000000753|2011_09_30_drive_0018_0000000754|2011_09_30_drive_0018_0000000756|2011_09_30_drive_0018_0000000758|2011_09_30_drive_0018_0000000759,3,6|11|16,2011_09_30_drive_0018_0000000746|2011_09_30_drive_0018_0000000751|2011_09_30_drive_0018_0000000756,1.0,0.375,0.619,0
111,0.4,21,8,5|6|8|11|12|13|15|19,2011_09_30_drive_0018_0000001489|2011_09_30_drive_0018_0000001490|2011_09_30_drive_0018_0000001492|2011_09_30_drive_0018_0000001495|2011_09_30_drive_0018_0000001496|2011_09_30_drive_0018_0000001497|2011_09_30_drive_0018_0000001499|2011_09_30_drive_0018_0000001503,3,11|12|19,2011_09_30_drive_0018_0000001495|2011_09_30_drive_0018_0000001496|2011_09_30_drive_0018_0000001503,1.0,0.375,1.403,0
112,0.4,21,8,1|9|10|11|12|15|17|19,2011_09_30_drive_0018_0000002261|2011_09_30_drive_0018_0000002269|2011_09_30_drive_0018_0000002270|2011_09_30_drive_0018_0000002271|2011_09_30_drive_0018_0000002272|2011_09_30_drive_0018_0000002275|2011_09_30_drive_0018_0000002277|2011_09_30_drive_0018_0000002279,3,0|1|2,2011_09_30_drive_0018_0000002260|2011_09_30_drive_0018_0000002261|2011_09_30_drive_0018_0000002262,0.333,0.125,3.386,0
114,0.4,9,4,1|4|6|8,2011_09_30_drive_0018_0000002604|2011_09_30_drive_0018_0000002607|2011_09_30_drive_0018_0000002609|2011_09_30_drive_0018_0000002611,3,0|1|6,2011_09_30_drive_0018_0000002603|2011_09_30_drive_0018_0000002604|2011_09_30_drive_0018_0000002609,0.667,0.5,1.59,0
115,0.4,14,6,0|1|7|8|12|13,2011_09_30_drive_0018_0000002660|2011_09_30_drive_0018_0000002661|2011_09_30_drive_0018_0000002667|2011_09_30_drive_0018_0000002668|2011_09_30_drive_0018_0000002672|2011_09_30_drive_0018_0000002673,3,0|1|12,2011_09_30_drive_0018_0000002660|2011_09_30_drive_0018_0000002661|2011_09_30_drive_0018_0000002672,1.0,0.5,0.823,0
117,0.4,7,3,1|2|3,2011_09_30_drive_0020_0000000223|2011_09_30_drive_0020_0000000224|2011_09_30_drive_0020_0000000225,3,1|2|6,2011_09_30_drive_0020_0000000223|2011_09_30_drive_0020_0000000224|2011_09_30_drive_0020_0000000228,0.667,0.667,1.266,0
118,0.4,16,6,3|4|7|10|13|14,2011_09_30_drive_0020_0000000846|2011_09_30_drive_0020_0000000847|2011_09_30_drive_0020_0000000850|2011_09_30_drive_0020_0000000853|2011_09_30_drive_0020_0000000856|2011_09_30_drive_0020_0000000857,3,4|7|14,2011_09_30_drive_0020_0000000847|2011_09_30_drive_0020_0000000850|2011_09_30_drive_0020_0000000857,1.0,0.5,1.682,0
119,0.4,7,3,1|4|6,2011_09_30_drive_0020_0000001042|2011_09_30_drive_0020_0000001045|2011_09_30_drive_0020_0000001047,3,1|4|6,2011_09_30_drive_0020_0000001042|2011_09_30_drive_0020_0000001045|2011_09_30_drive_0020_0000001047,1.0,1.0,0.865,0
